sample_id,study_id,accession,condition,paired_end,stranded
SRR9882988,GSE135251,GSM3998199,NAFLD.Early,TRUE,reverse
SRR9882989,GSE135251,GSM3998200,NAFLD.Moderate,TRUE,reverse
SRR9882990,GSE135251,GSM3998201,NAFLD.Moderate,TRUE,reverse
SRR9882991,GSE135251,GSM3998202,NAFLD.Early,TRUE,reverse
SRR9882992,GSE135251,GSM3998203,NAFLD.Moderate,TRUE,reverse
SRR9882993,GSE135251,GSM3998204,NAFLD.Early,TRUE,reverse
SRR9882994,GSE135251,GSM3998205,NAFLD.Early,TRUE,reverse
SRR9882995,GSE135251,GSM3998206,NAFLD.Early,TRUE,reverse
SRR9882996,GSE135251,GSM3998207,NAFLD.Moderate,TRUE,reverse
SRR9882997,GSE135251,GSM3998208,NAFLD.Moderate,TRUE,reverse
SRR9882998,GSE135251,GSM3998209,NAFLD.Moderate,TRUE,reverse
SRR9882999,GSE135251,GSM3998210,NAFLD.Moderate,TRUE,reverse
SRR9883000,GSE135251,GSM3998211,NAFLD.Early,TRUE,reverse
SRR9883001,GSE135251,GSM3998212,NAFLD.Early,TRUE,reverse
SRR9883002,GSE135251,GSM3998213,NAFLD.Early,TRUE,reverse
SRR9883003,GSE135251,GSM3998214,NAFLD.Moderate,TRUE,reverse
SRR9883004,GSE135251,GSM3998215,NAFLD.Early,TRUE,reverse
SRR9883005,GSE135251,GSM3998216,Control,TRUE,reverse
SRR9883006,GSE135251,GSM3998217,Control,TRUE,reverse
SRR9883007,GSE135251,GSM3998218,Control,TRUE,reverse
SRR9883008,GSE135251,GSM3998219,NAFLD.Early,TRUE,reverse
SRR9883009,GSE135251,GSM3998220,Control,TRUE,reverse
SRR9883010,GSE135251,GSM3998221,Control,TRUE,reverse
SRR9883011,GSE135251,GSM3998222,Control,TRUE,reverse
SRR9883012,GSE135251,GSM3998223,Control,TRUE,reverse
SRR9883013,GSE135251,GSM3998224,Control,TRUE,reverse
SRR9883014,GSE135251,GSM3998225,NAFLD.Moderate,TRUE,reverse
SRR9883015,GSE135251,GSM3998226,NAFLD.Moderate,TRUE,reverse
SRR9883016,GSE135251,GSM3998227,NAFLD.Moderate,TRUE,reverse
SRR9883017,GSE135251,GSM3998228,NAFLD.Early,TRUE,reverse
SRR9883018,GSE135251,GSM3998229,NAFLD.Moderate,TRUE,reverse
SRR9883019,GSE135251,GSM3998230,NAFLD.Moderate,TRUE,reverse
SRR9883020,GSE135251,GSM3998231,NAFLD.Early,TRUE,reverse
SRR9883021,GSE135251,GSM3998232,NAFLD.Early,TRUE,reverse
SRR9883022,GSE135251,GSM3998233,NAFLD.Moderate,TRUE,reverse
SRR9883023,GSE135251,GSM3998234,NAFLD.Early,TRUE,reverse
SRR9883024,GSE135251,GSM3998235,NAFLD.Early,TRUE,reverse
SRR9883025,GSE135251,GSM3998236,NAFLD.Early,TRUE,reverse
SRR9883026,GSE135251,GSM3998237,NAFLD.Early,TRUE,reverse
SRR9883027,GSE135251,GSM3998238,NAFLD.Early,TRUE,reverse
SRR9883028,GSE135251,GSM3998239,NAFLD.Moderate,TRUE,reverse
SRR9883029,GSE135251,GSM3998240,NAFLD.Early,TRUE,reverse
SRR9883030,GSE135251,GSM3998241,NAFLD.Moderate,TRUE,reverse
SRR9883031,GSE135251,GSM3998242,NAFLD.Moderate,TRUE,reverse
SRR9883032,GSE135251,GSM3998243,NAFLD.Early,TRUE,reverse
SRR9883033,GSE135251,GSM3998244,NAFLD.Early,TRUE,reverse
SRR9883034,GSE135251,GSM3998245,NAFLD.Early,TRUE,reverse
SRR9883035,GSE135251,GSM3998246,NAFLD.Early,TRUE,reverse
SRR9883036,GSE135251,GSM3998247,NAFLD.Early,TRUE,reverse
SRR9883037,GSE135251,GSM3998248,NAFLD.Early,TRUE,reverse
SRR9883038,GSE135251,GSM3998249,NAFLD.Early,TRUE,reverse
SRR9883039,GSE135251,GSM3998250,NAFLD.Moderate,TRUE,reverse
SRR9883040,GSE135251,GSM3998251,NAFLD.Moderate,TRUE,reverse
SRR9883041,GSE135251,GSM3998252,NAFLD.Early,TRUE,reverse
SRR9883042,GSE135251,GSM3998253,NAFLD.Moderate,TRUE,reverse
SRR9883043,GSE135251,GSM3998254,NAFLD.Early,TRUE,reverse
SRR9883044,GSE135251,GSM3998255,NAFLD.Early,TRUE,reverse
SRR9883045,GSE135251,GSM3998256,NAFLD.Early,TRUE,reverse
SRR9883046,GSE135251,GSM3998257,NAFLD.Early,TRUE,reverse
SRR9883047,GSE135251,GSM3998258,NAFLD.Moderate,TRUE,reverse
SRR9883048,GSE135251,GSM3998259,NAFLD.Early,TRUE,reverse
SRR9883049,GSE135251,GSM3998260,NAFLD.Early,TRUE,reverse
SRR9883050,GSE135251,GSM3998261,NAFLD.Moderate,TRUE,reverse
SRR9883051,GSE135251,GSM3998262,NAFLD.Moderate,TRUE,reverse
SRR9883052,GSE135251,GSM3998263,NAFLD.Early,TRUE,reverse
SRR9883053,GSE135251,GSM3998264,NAFLD.Early,TRUE,reverse
SRR9883054,GSE135251,GSM3998265,NAFLD.Moderate,TRUE,reverse
SRR9883055,GSE135251,GSM3998266,NAFLD.Early,TRUE,reverse
SRR9883056,GSE135251,GSM3998267,NAFLD.Early,TRUE,reverse
SRR9883057,GSE135251,GSM3998268,NAFLD.Moderate,TRUE,reverse
SRR9883058,GSE135251,GSM3998269,NAFLD.Early,TRUE,reverse
SRR9883059,GSE135251,GSM3998270,NAFLD.Early,TRUE,reverse
SRR9883060,GSE135251,GSM3998271,NAFLD.Early,TRUE,reverse
SRR9883061,GSE135251,GSM3998272,NAFLD.Early,TRUE,reverse
SRR9883062,GSE135251,GSM3998273,NAFLD.Early,TRUE,reverse
SRR9883063,GSE135251,GSM3998274,NAFLD.Moderate,TRUE,reverse
SRR9883064,GSE135251,GSM3998275,NAFLD.Moderate,TRUE,reverse
SRR9883065,GSE135251,GSM3998276,NAFLD.Early,TRUE,reverse
SRR9883066,GSE135251,GSM3998277,NAFLD.Early,TRUE,reverse
SRR9883067,GSE135251,GSM3998278,NAFLD.Early,TRUE,reverse
SRR9883068,GSE135251,GSM3998279,NAFLD.Early,TRUE,reverse
SRR9883069,GSE135251,GSM3998280,NAFLD.Moderate,TRUE,reverse
SRR9883070,GSE135251,GSM3998281,NAFLD.Early,TRUE,reverse
SRR9883071,GSE135251,GSM3998282,NAFLD.Moderate,TRUE,reverse
SRR9883072,GSE135251,GSM3998283,NAFLD.Early,TRUE,reverse
SRR9883073,GSE135251,GSM3998284,NAFLD.Early,TRUE,reverse
SRR9883074,GSE135251,GSM3998285,NAFLD.Moderate,TRUE,reverse
SRR9883075,GSE135251,GSM3998286,NAFLD.Early,TRUE,reverse
SRR9883076,GSE135251,GSM3998287,NAFLD.Early,TRUE,reverse
SRR9883077,GSE135251,GSM3998288,NAFLD.Early,TRUE,reverse
SRR9883078,GSE135251,GSM3998289,NAFLD.Early,TRUE,reverse
SRR9883079,GSE135251,GSM3998290,NAFLD.Early,TRUE,reverse
SRR9883080,GSE135251,GSM3998291,NAFLD.Early,TRUE,reverse
SRR9883081,GSE135251,GSM3998292,NAFLD.Early,TRUE,reverse
SRR9883082,GSE135251,GSM3998293,NAFLD.Early,TRUE,reverse
SRR9883083,GSE135251,GSM3998294,NAFLD.Early,TRUE,reverse
SRR9883084,GSE135251,GSM3998295,NAFLD.Early,TRUE,reverse
SRR9883085,GSE135251,GSM3998296,NAFLD.Early,TRUE,reverse
SRR9883086,GSE135251,GSM3998297,NAFLD.Early,TRUE,reverse
SRR9883087,GSE135251,GSM3998298,NAFLD.Moderate,TRUE,reverse
SRR9883088,GSE135251,GSM3998299,NAFLD.Early,TRUE,reverse
SRR9883089,GSE135251,GSM3998300,NAFLD.Early,TRUE,reverse
SRR9883090,GSE135251,GSM3998301,NAFLD.Moderate,TRUE,reverse
SRR9883091,GSE135251,GSM3998302,NAFLD.Early,TRUE,reverse
SRR9883092,GSE135251,GSM3998303,NAFLD.Early,TRUE,reverse
SRR9883093,GSE135251,GSM3998304,NAFLD.Early,TRUE,reverse
SRR9883094,GSE135251,GSM3998305,NAFLD.Early,TRUE,reverse
SRR9883095,GSE135251,GSM3998306,NAFLD.Early,TRUE,reverse
SRR9883096,GSE135251,GSM3998307,NAFLD.Early,TRUE,reverse
SRR9883097,GSE135251,GSM3998308,NAFLD.Moderate,TRUE,reverse
SRR9883098,GSE135251,GSM3998309,NAFLD.Moderate,TRUE,reverse
SRR9883099,GSE135251,GSM3998310,NAFLD.Early,TRUE,reverse
SRR9883100,GSE135251,GSM3998311,NAFLD.Early,TRUE,reverse
SRR9883101,GSE135251,GSM3998312,NAFLD.Early,TRUE,reverse
SRR9883102,GSE135251,GSM3998313,NAFLD.Early,TRUE,reverse
SRR9883103,GSE135251,GSM3998314,NAFLD.Moderate,TRUE,reverse
SRR9883104,GSE135251,GSM3998315,NAFLD.Early,TRUE,reverse
SRR9883105,GSE135251,GSM3998316,NAFLD.Early,TRUE,reverse
SRR9883106,GSE135251,GSM3998317,NAFLD.Early,TRUE,reverse
SRR9883107,GSE135251,GSM3998318,NAFLD.Early,TRUE,reverse
SRR9883108,GSE135251,GSM3998319,NAFLD.Moderate,TRUE,reverse
SRR9883109,GSE135251,GSM3998320,NAFLD.Early,TRUE,reverse
SRR9883110,GSE135251,GSM3998321,NAFLD.Early,TRUE,reverse
SRR9883111,GSE135251,GSM3998322,NAFLD.Moderate,TRUE,reverse
SRR9883112,GSE135251,GSM3998323,NAFLD.Early,TRUE,reverse
SRR9883113,GSE135251,GSM3998324,NAFLD.Moderate,TRUE,reverse
SRR9883114,GSE135251,GSM3998325,NAFLD.Early,TRUE,reverse
SRR9883115,GSE135251,GSM3998326,NAFLD.Early,TRUE,reverse
SRR9883116,GSE135251,GSM3998327,NAFLD.Moderate,TRUE,reverse
SRR9883117,GSE135251,GSM3998328,NAFLD.Moderate,TRUE,reverse
SRR9883118,GSE135251,GSM3998329,NAFLD.Moderate,TRUE,reverse
SRR9883119,GSE135251,GSM3998330,NAFLD.Moderate,TRUE,reverse
SRR9883120,GSE135251,GSM3998331,NAFLD.Early,TRUE,reverse
SRR9883121,GSE135251,GSM3998332,NAFLD.Moderate,TRUE,reverse
SRR9883122,GSE135251,GSM3998333,NAFLD.Moderate,TRUE,reverse
SRR9883123,GSE135251,GSM3998334,NAFLD.Moderate,TRUE,reverse
SRR9883124,GSE135251,GSM3998335,NAFLD.Early,TRUE,reverse
SRR9883125,GSE135251,GSM3998336,NAFLD.Early,TRUE,reverse
SRR9883126,GSE135251,GSM3998337,NAFLD.Early,TRUE,reverse
SRR9883127,GSE135251,GSM3998338,NAFLD.Moderate,TRUE,reverse
SRR9883128,GSE135251,GSM3998339,NAFLD.Early,TRUE,reverse
SRR9883129,GSE135251,GSM3998340,NAFLD.Moderate,TRUE,reverse
SRR9883130,GSE135251,GSM3998341,Control,TRUE,reverse
SRR9883131,GSE135251,GSM3998342,Control,TRUE,reverse
SRR9883132,GSE135251,GSM3998343,NAFLD.Early,TRUE,reverse
SRR9883133,GSE135251,GSM3998344,NAFLD.Early,TRUE,reverse
SRR9883134,GSE135251,GSM3998345,NAFLD.Early,TRUE,reverse
SRR9883135,GSE135251,GSM3998346,NAFLD.Early,TRUE,reverse
SRR9883136,GSE135251,GSM3998347,NAFLD.Early,TRUE,reverse
SRR9883137,GSE135251,GSM3998348,NAFLD.Early,TRUE,reverse
SRR9883138,GSE135251,GSM3998349,NAFLD.Early,TRUE,reverse
SRR9883139,GSE135251,GSM3998350,NAFLD.Early,TRUE,reverse
SRR9883140,GSE135251,GSM3998351,NAFLD.Early,TRUE,reverse
SRR9883141,GSE135251,GSM3998352,NAFLD.Early,TRUE,reverse
SRR9883142,GSE135251,GSM3998353,NAFLD.Early,TRUE,reverse
SRR9883143,GSE135251,GSM3998354,NAFLD.Moderate,TRUE,reverse
SRR9883144,GSE135251,GSM3998355,NAFLD.Early,TRUE,reverse
SRR9883145,GSE135251,GSM3998356,NAFLD.Early,TRUE,reverse
SRR9883146,GSE135251,GSM3998357,NAFLD.Early,TRUE,reverse
SRR9883147,GSE135251,GSM3998358,NAFLD.Early,TRUE,reverse
SRR9883148,GSE135251,GSM3998359,NAFLD.Moderate,TRUE,reverse
SRR9883149,GSE135251,GSM3998360,NAFLD.Early,TRUE,reverse
SRR9883150,GSE135251,GSM3998361,NAFLD.Early,TRUE,reverse
SRR9883151,GSE135251,GSM3998362,NAFLD.Early,TRUE,reverse
SRR9883152,GSE135251,GSM3998363,NAFLD.Early,TRUE,reverse
SRR9883153,GSE135251,GSM3998364,NAFLD.Moderate,TRUE,reverse
SRR9883154,GSE135251,GSM3998365,NAFLD.Moderate,TRUE,reverse
SRR9883155,GSE135251,GSM3998366,NAFLD.Early,TRUE,reverse
SRR9883156,GSE135251,GSM3998367,NAFLD.Early,TRUE,reverse
SRR9883157,GSE135251,GSM3998368,NAFLD.Early,TRUE,reverse
SRR9883158,GSE135251,GSM3998369,NAFLD.Moderate,TRUE,reverse
SRR9883159,GSE135251,GSM3998370,NAFLD.Early,TRUE,reverse
SRR9883160,GSE135251,GSM3998371,NAFLD.Early,TRUE,reverse
SRR9883161,GSE135251,GSM3998372,NAFLD.Moderate,TRUE,reverse
SRR9883162,GSE135251,GSM3998373,NAFLD.Moderate,TRUE,reverse
SRR9883163,GSE135251,GSM3998374,NAFLD.Moderate,TRUE,reverse
SRR9883164,GSE135251,GSM3998375,NAFLD.Early,TRUE,reverse
SRR9883165,GSE135251,GSM3998376,NAFLD.Early,TRUE,reverse
SRR9883166,GSE135251,GSM3998377,NAFLD.Early,TRUE,reverse
SRR9883167,GSE135251,GSM3998378,NAFLD.Moderate,TRUE,reverse
SRR9883168,GSE135251,GSM3998379,NAFLD.Moderate,TRUE,reverse
SRR9883169,GSE135251,GSM3998380,NAFLD.Early,TRUE,reverse
SRR9883170,GSE135251,GSM3998381,NAFLD.Early,TRUE,reverse
SRR9883171,GSE135251,GSM3998382,NAFLD.Moderate,TRUE,reverse
